Team 1,Team 2,TossWinner,TossDescion,TimeSlot,City,Venue,Winner
Qalandars,Sultans,Qalandars,Bating,Night,Lahore,Gaddafi stadium,Qalandars
Qalandars,Zalmi,Zalmi,Bating,Night,Lahore,Gaddafi stadium,Qalandars
United,Zalmi,United,Fielding,Night,Lahore,Gaddafi stadium,Zalmi
Qalandars,Sultans,Sultans,Bating,Night,Lahore,Gaddafi stadium,Sultans
Qalandars,Kings,Kings,Bating,Night,Lahore,Gaddafi stadium,Kings
United,Zalmi,United,Fielding,day,Rawalpindi,RCS,Zalmi
Gladiators,Sultans,Gladiators,Fielding,Night,Rawalpindi,RCS,Sultans
Zalmi,Sultans,Zalmi,Bating,Night,Rawalpindi,RCS,Sultans
United,Qalandars,Qalandars,Bating,Night,Rawalpindi,RCS,Qalandars
Zalmi,Gladiators,Zalmi,Bating,Night,Rawalpindi,RCS,Gladiators
United,Sultans,United,Fielding,Night,Rawalpindi,RCS,United
Zalmi,Qalandars,Zalmi,Bating,day,Rawalpindi,RCS,Zalmi
Gladiators,Kings,Gladiators,Fielding,Night,Rawalpindi,RCS,Gladiators
United,Gladiators,United,Fielding,Night,Rawalpindi,RCS,United
Qalandars,Sultans,Gladiators,Bating,Night,Lahore,Gaddafi stadium,Qalandars
United,Kings,Kings,Bating,Night,Rawalpindi,RCS,United
Qalandars,Gladiators,Gladiators,Fielding,Night,Lahore,Gaddafi stadium,Qalandars
Zalmi,Kings,Kings,Fielding,Night,Rawalpindi,RCS,Zalmi
Qalandars,United,Qalandars,Bating,Night,Lahore,Gaddafi stadium,Qalandars
Qalandars,Zalmi,Qalandars,Bating,Night,Lahore,Gaddafi stadium,Qalandars
Kings,Sultans,Sultans,Fielding,day,Karachi,Naitonal stadium,Kings
Gladiators,United,United,Bating,Night,Karachi,Naitonal stadium,United
Zalmi,United,United,Fielding,Night,Karachi,Naitonal stadium,United
Sultans,Kings,Kings,Fielding,Night,Multan,MCS,Sultans
Gladiators,Qalandars,Gladiators,Fielding,Night,Karachi,Naitonal stadium,Qalandars
Gladiators,Zalmi,Zalmi,Fielding,Night,Karachi,Naitonal stadium,Zalmi
Kings,Qalandars,Gladiators,Fielding,Night,Karachi,Naitonal stadium,Kings
Sultans,United,United,Fielding,day,Multan,MCS,Sultans
Kings,Gladiators,Kings,Fielding,Night,Karachi,Naitonal stadium,Gladiators
Sultans,Zalmi,Zalmi,Fielding,Night,Multan,MCS,Sultans
Kings,United,United,Fielding,Night,Karachi,Naitonal stadium,United
Sultans,Gladiators,Sultans,Fielding,Night,Multan,MCS,Sultans
Kings,Zalmi,Kings,Fielding,Night,Karachi,Naitonal stadium,Zalmi
Sultans,Qalandars,Sultans,Fielding,Night,Multan,MCS,Qalandars
Qalandars,Sultans,Qalandars,Bating,Night,Lahore,Gaddafi stadium,Qalandars
Qalandars,United,Qalandars,Bating,Night,Lahore,Gaddafi stadium,Qalandars
United,Zalmi,Zalmi,Bating,Night,Lahore,Gaddafi stadium,United
Qalandars,Sultans,Qalandars,Fielding,Night,Lahore,Gaddafi stadium,Sultans
Sultans,United,United,Bating,Night,Lahore,Gaddafi stadium,Sultans
Gladiators,Kings,Gladiators,Bating,day,Lahore,Gaddafi stadium,Gladiators
Qalandars,United,Qalandars,Bating,Night,Lahore,Gaddafi stadium,Qalandars
Qalandars,Kings,Kings,Bating,Night,Lahore,Gaddafi stadium,Kings
Sultans,Gladiators,Sultans,Bating,day,Lahore,Gaddafi stadium,Sultans
United,Zalmi,Zalmi,Bating,Night,Lahore,Gaddafi stadium,Zalmi
Sultans,Kings,Kings,Bating,Night,Lahore,Gaddafi stadium,Sultans
Zalmi,Gladiators,Zalmi,Bating,Night,Lahore,Gaddafi stadium,Zalmi
United,Kings,Kings,Fielding,Night,Lahore,Gaddafi stadium,United
Qalandars,Gladiators,Qalandars,Fielding,Night,Lahore,Gaddafi stadium,Qalandars
Zalmi,Kings,Kings,Fielding,day,Lahore,Gaddafi stadium,Zalmi
United,Gladiators,Gladiators,Fielding,Night,Lahore,Gaddafi stadium,Gladiators
Qalandars,Sultans,Sultans,Fielding,Night,Lahore,Gaddafi stadium,Qalandars
Sultans,Zalmi,Zalmi,Fielding,Night,Lahore,Gaddafi stadium,Sultans
Gladiators,Qalandars,Gladiators,Fielding,Night,Karachi,Naitonal stadium,Gladiators
Kings,United,United,Bating,Night,Karachi,Naitonal stadium,United
Zalmi,Sultans,Zalmi,Fielding,Night,Karachi,Naitonal stadium,Sultans
United,Qalandars,United,Fielding,day,Karachi,Naitonal stadium,Qalandars
Kings,Zalmi,Kings,Fielding,Night,Karachi,Naitonal stadium,Zalmi
Gladiators,United,Gladiators,Fielding,Night,Karachi,Naitonal stadium,United
Zalmi,Qalandars,Zalmi,Fielding,Night,Karachi,Naitonal stadium,Qalandars
United,Sultans,United,Fielding,Night,Karachi,Naitonal stadium,Sultans
Gladiators,Sultans,Gladiators,Fielding,Night,Karachi,Naitonal stadium,Sultans
Kings,Qalandars,Qalandars,Fielding,Night,Karachi,Naitonal stadium,Qalandars
Zalmi,United,United,Fielding,day,Karachi,Naitonal stadium,United
Kings,Gladiators,Gladiators,Fielding,Night,Karachi,Naitonal stadium,Gladiators
Sultans,Qalandars,Sultans,Fielding,day,Karachi,Naitonal stadium,Sultans
Gladiators,Zalmi,Zalmi,Fielding,Night,Karachi,Naitonal stadium,Zalmi
Kings,Sultans,Sultans,Fielding,Night,Karachi,Naitonal stadium,Sultans
Sultans,Zalmi,Zalmi,Fielding,daynight,Abu Dhabi,SZS,Sultans
United,Zalmi,Zalmi,Fielding,daynight,Abu Dhabi,SZS,Zalmi
Zalmi,Kings,Zalmi,Fielding,Night,Abu Dhabi,SZS,Zalmi
United,Sultans,Sultans,Bating,daynight,Abu Dhabi,SZS,Sultans
United,Sultans,United,Fielding,Night,Abu Dhabi,SZS,United
Kings,Gladiators,Kings,Bating,daynight,Abu Dhabi,SZS,Kings
Qalandars,Sultans,Qalandars,Fielding,Night,Abu Dhabi,SZS,Sultans
